cluster,topic,dept,n,sample,prominence,dept_counts
Innovative Approaches to Urban Stormwater Management,Innovative Numerical Methods for Shallow Water Dynamics,Matematika,5,"[""SWE-Exner model for evaluating the effectiveness of organic coastal defense in trapping mud and absorbing waves"", ""The effectiveness of the combination of breakwater and trench in reducing waves"", ""Analysis of Synthetic Data Utilization with Generative Adversarial Network in Flood Classification using K-Nearest Neighbor Algorithm""]",82.5,"{""Fisika"": 1, ""Matematika"": 2, ""Kimia"": 2}"
Innovative Materials for Enhanced Concrete Performance,Geopolymers in Environmental and Structural Applications,Kimia,5,"[""Glycerol-Assisted Modification of 3D-Printed Zeolite (3D-Ze/Gy) for Enhanced Methylene Blue Dye Removal in Aqueous Solutions"", ""The effect of alkaline activation on the zeolite binding properties toward dissolved irons"", ""A novel utilization of sugarcane bagasse-derived ash to reductively remove gold(III) to gold metal: Energetics, kinetics and mechanism studies""]",98.9,"{""Kimia"": 3, ""Ilmu Komputer dan Elektronika"": 2}"
Ionospheric Dynamics and Solar Interactions in Planetary Atmospheres,Ionospheric Irregularities Impacting GNSS Performance,Fisika,5,"[""Pre-Sunrise Equatorial Plasma Bubble Over Indonesia During the 11 May 2024 Super Geomagnetic Storm"", ""Occurrence of ionospheric scintillation during geomagnetic storms in Indonesia (2003–2024) using superposed epoch analysis"", ""Generation of Pre-Sunrise Equatorial Plasma Bubbles Under the Influence of Geomagnetic Storms Based on ROTI Maps Over Indonesia""]",40.4,"{""Ilmu Komputer dan Elektronika"": 2, ""Fisika"": 3}"
Machine Learning Techniques for Predictive Modeling,Extreme Learning Machines in Data Classification,Ilmu Komputer dan Elektronika,5,"[""An Extreme Learning Machine Model Approach on Airbnb Base Price Prediction"", ""Artificial Neural Network for Classification Task in Tabular Datasets and Image Processing: A Systematic Literature Review"", ""The Digitization of the Indonesian Pasar Market Through An E-Grocery Based Mobile App Solution""]",75.5,"{""Ilmu Komputer dan Elektronika"": 4, ""Fisika"": 1}"
Microbial Diversity and Gene Analysis in Pathogens,Diversity and Bioactivity of Marine Actinobacteria,Kimia,5,"[""The potency of actinomycetes extracts isolated from pramuka island, jakarta, indonesia as antimicrobial agents"", ""Profiling and Antibacterial Activity Assay of Secondary Metabolites from Streptomyces Isolated from Mangrove Sediment Sample"", ""Colorimetric amine detection by vanillin-hydrazone derivatives during chicken meat spoilage""]",88.0,"{""Kimia"": 4, ""Ilmu Komputer dan Elektronika"": 1}"
Modeling and Control of Robotic Systems,Max-Plus Algebra Applications in Control Systems,Kimia,5,"[""Performance Analysis of FIFO and Round Robin Scheduling Process Algorithm in IoT Operating System for Collecting Landslide Data"", ""The Cholesky Decomposition of Matrices over the Symmetrized Max-Plus Algebra"", ""CHARACTERIZATION OF RANK OF A MATRIX OVER THE SYMMETRIZED MAX-PLUS ALGEBRA""]",6.3,"{""Ilmu Komputer dan Elektronika"": 1, ""Kimia"": 2, ""Matematika"": 2}"
Paleomagnetism and Geochronology in Geological Research,Magnetic Properties and Heavy Metal Pollution Insights,Fisika,5,"[""Preliminary study of magnetic susceptibility on fine sediment Bengawan Solo river"", ""Identification pyroclastic flow of magnetic minerals (Holocene volcano): A case study of paleo-volcano Lawu on the south side, Central Java, Indonesia"", ""Magnetic Properties of Ancient Sediments Bengawan Solo, Central Java-East Java, Indonesia""]",11.4,"{""Fisika"": 5}"
Palladium Catalysis in Cross-Coupling Reactions,Palladium Nanoparticles in Catalytic Reactions,Kimia,5,"[""Fixing Ni2+ onto mesoporous SiO2-TiO2 through amino silane and application as a catalyst for Kumada cross coupling reaction for 1,1′-biphenyl synthesis"", ""Synthesis, Cytotoxic Evaluation and molecular docking of bromo-substituted 1,3,6-trihydroxyxanthone as protein tyrosine kinase inhibitor"", ""Novel nickel-immobilized-SiO2-TiO2 fine particles in the presence of cetyltrimethylammonium bromide as a catalyst for ultrasound-assisted-Kumada cross-coupling reaction""]",61.0,"{""Kimia"": 5}"
Retinal Disease Detection and Treatment,Innovative Techniques in Retinal Vessel Segmentation,Ilmu Komputer dan Elektronika,5,"[""Optimization Contrast Enhancement and Noise Reduction for Semantic Segmentation of Oil Palm Aerial Imagery"", ""Efficient and Robust Method to Detect the Location of Macular Center Based on Optimal Temporal Determination"", ""The Methods of Determining Temporal Direction Based on Asymmetric Information of the Optic Disc for Optimal Fovea Detection""]",88.2,"{""Ilmu Komputer dan Elektronika"": 5}"
Solar Energy and Photovoltaic Systems,Artificial Light Pollution and Ecological Impact,Fisika,5,"[""Data analysis techniques in light pollution: A survey and taxonomy"", ""A spatiotemporal prediction model for light pollution in conservation areas using remote sensing datasets"", ""Real-time anomaly detection in sky quality meter data using probabilistic exponential weighted moving average""]",86.3,"{""Fisika"": 3, ""Matematika"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Solid Oxide Fuel Cell Technology,Zirconium Titanate Innovations in Dielectric Materials,Kimia,5,"[""Development of Density-Functional Tight-Binding Parameters for the Molecular Dynamics Simulation of Zirconia, Yttria, and Yttria-Stabilized Zirconia"", ""Facile Synthesis of Various ZrO2 Phases and ZrO2-MO2 (M = Ti, Hf) by Thermal Decomposition of a Single UiO-66 Precursor for Photodegradation of Methyl Orange"", ""Investigations of the influence of non-metal dopants on the electronic and photocatalytic properties of ZrTiO4 by density functional theory calculations""]",85.3,"{""Belum terpetakan"": 1, ""Kimia"": 3, ""Fisika"": 1}"
Tumor Suppressor Proteins and Gene Therapy Insights,Oncolytic Adenoviruses in Cancer Treatment Strategies,Matematika,5,"[""Hopf Bifurcation on a Cancer Therapy Model by Oncolytic Virus Involving the Malignancy Effect and Therapeutic Efficacy"", ""Comparison of 3-carbethoxy-4-phenyl-but-3-en-2-one and methylene quinuclidinone as a ligand to reactivate mutant p53: Molecular docking study in three types of crystal structure mutant p53: 2BIM, 2JIY, and 2J21"", ""Torus and Homoclinic Bifurcations on a Cells Repair Regulations Model of the Metastatic Nasopharyngeal Carcinoma""]",49.2,"{""Matematika"": 3, ""Kimia"": 2}"
Water and Carbon Dynamics in Ecosystems,Innovative Systems for Plant Growth and Monitoring,Ilmu Komputer dan Elektronika,5,"[""Modeling Trust Decision-Making of Indonesian Food and Beverage SME Groups in the Adoption of Industry 4.0"", ""Group preference decision-making for the implementation of Industry 4.0 in food and beverage SMEs"", ""The development of quality evaluation model for capture fisheries supply chain in Java southern coast""]",76.4,"{""Ilmu Komputer dan Elektronika"": 3, ""Belum terpetakan"": 2}"
Algebraic Structures and Their Applications in Logic,Generalized Derivations and Commutativity in Prime Rings,Matematika,4,"[""On f -derivations on polynomial modules"", ""Commuting and Centralizing Maps on Modules"", ""Exoticism on topological spaces and alternative physics: Physics on exotic spheres as toy models""]",7.7,"{""Matematika"": 2, ""Kimia"": 1, ""Fisika"": 1}"
Breast Cancer Screening and Health Disparities,Innovative Approaches in Cancer Treatment and Patient Care,Matematika,4,"[""Characteristics of breast cancer patients at dr. Sardjito Hospital for early anticipation of neutropenia: Cross-sectional study"", ""A Mathematical Model for The Treatment Cost Estimation of Breast Cancer with Cardiotoxicity"", ""Survival analysis of breast cancer patients in Yogyakarta""]",68.6,"{""Matematika"": 4}"
Catalytic Innovations for Hydrogen and Ammonia Production,Catalytic Innovations in Methane Reforming Processes,Kimia,4,"[""Effect of base promoter on activity of MCM-41-supported nickel catalyst for hydrogen production via dry reforming of methane"", ""Montmorillonite-Zirconium Phosphate Catalysts for Methanol Dehydration"", ""Synthesis of Titanium Oxide Catalyst with Gold Nanoparticle as a Dopant for Ethanol Dehydration Application""]",99.2,"{""Fisika"": 1, ""Kimia"": 3}"
Causality and Complexity in Time Series Analysis,Innovative Techniques in Time Series Spectrum Analysis,Belum terpetakan,4,"[""Ssa-based hybrid forecasting models and applications"", ""Forecasting of jabodetabek train passengers using singular spectrum analysis and holt-winters methods"", ""Covid-19 daily forecasting during ramadhan in countries with high muslim population""]",21.7,"{""Belum terpetakan"": 3, ""Matematika"": 1}"
Coding and Information Storage,Integer Codes and Error Correction in Lattice Structures,Matematika,4,"[""On Algebraic Properties of Primitive Eisenstein Integers with Applications in Coding Theory"", ""On Signal Constellations over Eisenstein Integers"", ""Hydrodynamical formulation of Wigner{Dunkl quantum mechanics""]",15.7,"{""Matematika"": 2, ""Fisika"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Diamond Films and Their Multifaceted Applications,Defects and Spectroscopy in Synthetic Diamonds,Fisika,4,"[""Vibrational effect on vacancy concentration in diamond: The density-functional-theory calculation"", ""Semiconducting biomass-based amorphous carbon films and their potential application in photovoltaic devices"", ""Dissociation-energy calculations of C-multivacancies in diamond: the density-functional-theory study""]",67.3,"{""Fisika"": 3, ""Ilmu Komputer dan Elektronika"": 1}"
Ethylene Regulation and Antioxidant Activity in Fruits,Edible Coatings for Enhanced Fruit Preservation,Kimia,4,"[""Optimizing banana preservation with bandgap-dependent curcumin-modified Cu-doped-ZnO nanoparticles in chitosan edible coatings"", ""Polysaccharide-based layer-by-layer edible coatings for shelf-life extension of fresh tomatoes"", ""Chitosan-based edible coatings with silver-modified SiO2 nanoparticles and cinnamon essential oil (Cinnamomum burmannii) to extend shelf life of strawberry (Fragaria × ananassa)""]",84.8,"{""Matematika"": 1, ""Fisika"": 1, ""Kimia"": 2}"
Fluoride and Oral Health in Children,Fluoride and Remineralization in Dental Caries Management,Fisika,4,"[""Development of a hydroxyapatite nanoparticle-based gel for enamel remineralization —A physicochemical properties and cell viability assay analysis"", ""The Potential of QP3VH-Chitosan Peptide as Biomimetic Remineralization in Early Dental Caries Treatment: An In Vitro Study"", ""Viability Base Gel as Potential for Fabricating Crassostrea gigas Hydroxyapatite (HA-Crassostrea gigas shell) Gel for Dental Caries Repair""]",73.2,"{""Fisika"": 2, ""Kimia"": 1, ""Matematika"": 1}"
Gene Expression and Immune Responses in Insects,Diversity and Management of Fruit Fly Species,Kimia,4,"[""Population Dynamic of Fruit Fly Pests Bactrocera spp. in Salacca Orchard in Relation to Host Plants and Climate Factors"", ""Farmers' Response to The Application of Augmentorium in Technology to Conserve Fruit Fly Parasitoid on Snake Fruit in Yogyakarta"", ""Fruit flies (Diptera: Teprithidae) and their parasitoid (Hymenoptera: Braconidae) species from registered snake fruit production during early rainy and dry seasons in the Special Region of Yogyakarta, Indonesia""]",66.5,"{""Kimia"": 3, ""Fisika"": 1}"
Genotoxicity and Cancer Risk Assessment Framework,DNA Damage Assessment Using Comet Assay Techniques,Ilmu Komputer dan Elektronika,4,"[""GamaComet: A Deep Learning-Based Tool for the Detection and Classification of DNA Damage from Buccal Mucosa Comet Assay Images"", ""A hybrid convolutional neural network-extreme learning machine with augmented dataset for dna damage classification using comet assay from buccal mucosa sample"", ""Comet assay classification for buccal Mucosa’s DNA damage measurement with super tiny dataset using transfer learning""]",18.6,"{""Ilmu Komputer dan Elektronika"": 4}"
Glaucoma Management and Corneal Health Insights,Deep Learning Innovations in Glaucoma Diagnosis,Ilmu Komputer dan Elektronika,4,"[""RIB-NET AS MODIFICATION OF CNN ARCHITECTURE FOR SEMANTIC SEGMENTATION OF OPTIC DISC AND OPTIC CUP"", ""Improved U-Net Performance with Augmentation for Retinal Optic Segmentation"", ""Enhancing U-Net for Optic Cup and Disc Segmentation in Retinal Images Using Atrous Spatial Pyramid Pooling, Inception Modules, and Attention Gates""]",68.9,"{""Fisika"": 1, ""Matematika"": 1, ""Ilmu Komputer dan Elektronika"": 2}"
Graph Theory and Optimization in Computational Geometry,Graph Visualization Techniques for Enhanced Data Interpretation,Ilmu Komputer dan Elektronika,4,"[""Evaluating the layout quality of UML class diagrams using machine learning"", ""Clearing Lines with Evolution: A Genetic Algorithm Approach to Tetris"", ""TRAVELING SALESMAN PROBLEM INTEGRATED WITH FUZZY LOGIC ON TOURISM IN D.I. YOGYAKARTA""]",46.0,"{""Ilmu Komputer dan Elektronika"": 2, ""Matematika"": 2}"
Health Impacts of Air Pollution Exposure,Pharmacoepidemiology and Vaccine Safety Insights,Matematika,4,"[""Core Concepts: Self-Controlled Designs in Pharmacoepidemiology"", ""A comparison of four self-controlled study designs in an analysis of COVID-19 vaccines and myocarditis using five European databases"", ""Analysis and Trends Research Publications on Air Quality (PM 2.5) Management Strategies""]",93.7,"{""Matematika"": 2, ""Kimia"": 2}"
High-Performance Materials for Lithium Batteries,Mesoporous Carbon Nanospheres for Diverse Applications,Kimia,4,"[""The effect of gelatin as pore expander in green synthesis mesoporous silica for methylene blue adsorption"", ""Lithium-ion battery performance improvement using two-dimensional materials"", ""Understanding pore surface modification of sucrose-modified iron oxide/silica mesoporous composite for degradation of methylene blue""]",99.7,"{""Kimia"": 3, ""Ilmu Komputer dan Elektronika"": 1}"
Image Enhancement Techniques for Dynamic Range Optimization,Innovative Techniques in Image Enhancement and Contrast,Ilmu Komputer dan Elektronika,4,"[""Prediction of Forest Fire using Hybrid SOM-AdaBoost Method"", ""An Improved Cuckoo Search Algorithm with Dynamic Parameters and Hybrid Distribution for Enhanced CLAHE"", ""ENHANCING CONTRAST LIMITED ADAPTIVE HISTOGRAM EQUALIZATION USING WEIGHTED SUM CUCKOO SEARCH ALGORITHM""]",36.0,"{""Belum terpetakan"": 1, ""Ilmu Komputer dan Elektronika"": 2, ""Matematika"": 1}"
